Amount	Item						Total																		
$1,655.80	4 - Shure SM7B mics + Stands																								
$11.38	RL to AUX cable						$44,721.36																		
$450.00	Shure SM7B mic + Stands																								
$30.00	target - extension wires + cables																								
$300.00	Logo animation by Shamei Chein																								
$100.00	Lighting setup by Shamei Chein																								
$1,000.00	App prototype design by Jacob Schwartz and Hershy Glauber																								
$921.18	Gershy Schwartz Couch																								
$100.00	Moshe Greenfeld - To set up B&H gear order																								
$38.38	2 - Comprehensive Standard Series High-Speed HDMI Cable with Ethernet (25') $19.19																								
$5,180.00	4 - Blackmagic Design Pocket Cinema Camera 4K $1,295.00																								
$895.00	Blackmagic Design ATEM Mini Pro ISO HDMI Live Stream Switcher																								
$1,098.00	2 - Olympus M.Zuiko Digital ED 12- 45mm f/4 PRO Lens $549.00																								
$197.99	Panasonic Lumix G 14mm f/2.5 ASPH II Lens with Lens Care Kit																								
$239.64	6 - SanDisk 128GB Extreme PRO UHS-I SDXC Memory Card $39.94				                                  																				
$249.95	Genaray SSL-36 Soft Strip Daylight LED Light (4 x 36")																								
$89.95	Oben CTT-1000 Carbon Fiber Tabletop Tripod																								
$14.95	Pearstone HDA-115 High-Speed HDMI Cable with Ethernet (Black, 15')																								
$32.95	Impact Air-Cushioned Light Stand (Black, 8')																								
$539.98	2 - SanDisk 2TB Extreme Portable SSD V2 $269.99																								
$294.88	Genaray Spectro LED Essential 500IID Daylight LED 2-Light Kit																								
$23.90	2 - Impact 6" Baby Pin Wall Plate $11.95																								
$349.95	Rokinon 10mm f/2.8 ED AS NCS CS Lens for Micro Four Thirds Mount																								
$319.96	4 - K&M 25995 Tabletop Microphone Stand W/SHORT Boom $79.99																								
$330.00	Ikea - Podcast table																								
$29.38	Logitech - Pebble M350 Bluetooth Optical Mouse - Blue Gray																								
$3,000.00	Dell Laptop - Precision 5750																								
$28.35	Kensington 17 inch laptop sleeve, padded interior with pock																								
$190.53	5 - Black Magic Power Supply Pocket Camera 4K 12 $35																								
$1,500.00	12 Ads - Melech Hadreivers Status																								
$4,278.79	Dell Laptop - Precision 5760																								
$750.00	5 - Audio Technica Headphones 																								
$165.00	Focusrite 2i2 interface 																								
